,missing_count,missing_percent
participant,0,0.0
q01_formal_structure,0,0.0
q02_lessons_learned,0,0.0
q03_solution_source,0,0.0
q04_knowledge_base,0,0.0
q05_expert_finder,0,0.0
q06_project_knowledge,0,0.0
q07_hidden_knowledge_exists,0,0.0
q08_knowledge_utilization,0,0.0
q09_hidden_knowledge_value,1,0.53
q10_fear_of_sharing,0,0.0
q11_share_with_colleagues,0,0.0
q12_share_with_management,0,0.0
q13_personality_similarity,0,0.0
q14_extrovert_self_assessment,0,0.0
q15_prior_personality_test,0,0.0
q16_personality_test_willingness,0,0.0
q17_profile_use_consent,0,0.0
q18_ai_helpfulness,0,0.0
q19_ai_internal_channel_analysis,0,0.0
q20_ai_public_profile_analysis,0,0.0
q21_ai_work_content_analysis,0,0.0
q22_gender,0,0.0
q23_age_group,0,0.0
q24_organization_size,0,0.0
q25_tenure,0,0.0
q26_education,0,0.0
q27_decision_level,0,0.0
