column,unique_count,unique_values
participant,187,1 | 10 | 100 | 101 | 102 | 103 | 104 | 105 | 106 | 107 | 108 | 109 | 11 | 110 | 111 | 112 | 113 | 114 | 115 | 116 | 117 | 118 | 119 | 12 | 120 | 121 | 122 | 123 | 124 | 125 | 126 | 127 | 128 | 129 | 13 | 130 | 131 | 132 | 133 | 134 | 135 | 136 | 137 | 138 | 139 | 14 | 140 | 141 | 142 | 143 | 144 | 145 | 146 | 147 | 148 | 149 | 15 | 150 | 151 | 152 | 153 | 154 | 155 | 156 | 157 | 158 | 159 | 16 | 160 | 161 | 162 | 163 | 164 | 165 | 166 | 167 | 168 | 169 | 17 | 170 | 171 | 172 | 173 | 174 | 175 | 176 | 177 | 178 | 179 | 18 | 180 | 181 | 182 | 183 | 184 | 185 | 186 | 187 | 19 | 2 | 20 | 21 | 22 | 23 | 24 | 25 | 26 | 27 | 28 | 29 | 3 | 30 | 31 | 32 | 33 | 34 | 35 | 36 | 37 | 38 | 39 | 4 | 40 | 41 | 42 | 43 | 44 | 45 | 46 | 47 | 48 | 49 | 5 | 50 | 51 | 52 | 53 | 54 | 55 | 56 | 57 | 58 | 59 | 6 | 60 | 61 | 62 | 63 | 64 | 65 | 66 | 67 | 68 | 69 | 7 | 70 | 71 | 72 | 73 | 74 | 75 | 76 | 77 | 78 | 79 | 8 | 80 | 81 | 82 | 83 | 84 | 85 | 86 | 87 | 88 | 89 | 9 | 90 | 91 | 92 | 93 | 94 | 95 | 96 | 97 | 98 | 99
q01_formal_structure,3,No | To some level | Yes
q02_lessons_learned,3,No | Periodically | Yes
q03_solution_source,31,"Internal knowledge base system | Internal knowledge base system, Public social networks, Other publicly available knowledge sources, Other | Internal knowledge base system, Publicly available sources on the Internet | Official internal collaboration channels (email, slack, teams, etc.) | Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system | Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system, Other | Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system, Other publicly available knowledge sources | Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system, Publicly available sources on the Internet | Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system, Publicly available sources on the Internet, Other | Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system, Publicly available sources on the Internet, Other publicly available knowledge sources | Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system, Publicly available sources on the Internet, Other publicly available knowledge sources, Other | Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system, Publicly available sources on the Internet, Public social networks | Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system, Publicly available sources on the Internet, Public social networks, Other publicly available knowledge sources | Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system, Publicly available sources on the Internet, Public social networks, Other publicly available knowledge sources, Other | Official internal collaboration channels (email, slack, teams, etc.), Other | Official internal collaboration channels (email, slack, teams, etc.), Other publicly available knowledge sources | Official internal collaboration channels (email, slack, teams, etc.), Other publicly available knowledge sources, Other | Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet | Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet, Other | Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet, Other publicly available knowledge sources | Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet, Other publicly available knowledge sources, Other | Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet, Public social networks | Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet, Public social networks, Other publicly available knowledge sources | Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet, Public social networks, Other publicly available knowledge sources, Other | Other | Other publicly available knowledge sources | Other publicly available knowledge sources, Other | Publicly available sources on the Internet | Publicly available sources on the Internet, Other | Publicly available sources on the Internet, Other publicly available knowledge sources | Publicly available sources on the Internet, Other publicly available knowledge sources, Other"
q04_knowledge_base,4,No | Periodically | We don't have such a system | Yes
q05_expert_finder,4,No | Periodically | We don't have such a system | Yes
q06_project_knowledge,4,No | Periodically | We don't have such a system | Yes
q07_hidden_knowledge_exists,2,No | Yes
q08_knowledge_utilization,6,100% utilized | 25% to 50% | 50% to 75% | Completely unutilized | Less than 25% | More than 75%
q09_hidden_knowledge_value,5,Large | Low | Medium | Very large | Very low
q10_fear_of_sharing,4,Mostly No | Mostly Yes | No | Yes
q11_share_with_colleagues,3,No | With certain compensation Yes | Yes
q12_share_with_management,3,No | With certain compensation Yes | Yes
q13_personality_similarity,3,It doesn't matter to me | No | Yes
q14_extrovert_self_assessment,3,I don't want to declare | No | Yes
q15_prior_personality_test,2,No | Yes
q16_personality_test_willingness,3,No | With certain conditions Yes | Yes
q17_profile_use_consent,3,No | With certain conditions Yes | Yes
q18_ai_helpfulness,3,No | Up to a certain level Yes | Yes
q19_ai_internal_channel_analysis,4,No | Up to a certain level Yes | With certain conditions Yes | Yes
q20_ai_public_profile_analysis,4,No | Up to a certain level Yes | With certain conditions Yes | Yes
q21_ai_work_content_analysis,4,No | Up to a certain level Yes | With certain conditions Yes | Yes
q22_gender,4,Female | Male | Other | Prefer not to say
q23_age_group,6,20-30 | 30-40 | 40-50 | 50-60 | More than 60 | Prefer not to say
q24_organization_size,3,100-500 | Less than 100 | More than 500
q25_tenure,4,1-5 years | 5-10 years | Less than 1 year | More than 10 years
q26_education,3,High | Middle | Upper
q27_decision_level,3,High | Low | Medium
