Participant_ID;Group;Persona;Total_Scenarios;Mean_Ease;Mean_Helpfulness;Mean_Trust;Mean_Contact_Likert;Mean_Style_Match;Overall_Mean;Contact_Binary_Rate;Overall_Helpfulness_Global;Confidence_Global
P001;Matched;STJ;4;4,25;4,75;5;5;5;4,8;1;5;5
P002;Matched;STJ;4;3,75;3,5;3,75;3;3;3,4;0,75;4;4
P003;Matched;STJ;4;4,25;4;4;4;4;4,05;0,75;4;4
P004;Matched;STJ;4;3,75;3,5;3,5;3,25;3,25;3,45;0,5;4;4
P005;Matched;STJ;4;5;5;5;5;4,75;4,95;1;3;5
P006;Matched;STJ;4;4,75;4,5;4;4;3,75;4,2;0,5;5;4
P007;Matched;STJ;4;3,5;3,5;4;3,75;3,25;3,6;1;4;4
P008;Matched;STJ;4;4,25;3,75;3,75;3,5;3,75;3,8;0,75;4;4
P009;Matched;STJ;4;4,25;4,25;5;5;5;4,7;1;4;5
P010;Matched;STJ;4;4,75;4,75;4,75;4,25;4,25;4,55;0,75;4;4
P011;Matched;STJ;4;5;5;5;5;5;5;1;5;5
P012;Matched;STJ;4;5;5;5;5;5;5;1;5;5
P013;Matched;STJ;4;5;5;4,75;5;4;4,75;1;5;4
P014;Matched;STJ;4;5;5;5;5;5;5;1;5;5
P015;Matched;STJ;4;3,5;3,75;3,5;4;3,5;3,65;1;3;2
P016;Matched;STJ;4;3,5;3,5;3,5;3,5;3,5;3,5;0,75;4;4
P017;Matched;STJ;4;5;5;4,75;5;5;4,95;1;5;5
P018;Matched;STJ;4;4;3,75;3,5;3,25;3,25;3,55;1;4;4
P019;Matched;STJ;4;3,875;3,875;4;3,625;3,75;3,825;0,75;3;3
P020;Matched;SFP;4;5;5;5;5;5;5;1;4;4
P021;Matched;SFP;4;5;5;5;5;5;5;1;3;5
P022;Matched;SFP;4;5;5;4,75;5;4;4,75;1;5;4
P023;Matched;SFP;4;5;5;5;5;5;5;1;4;4
P024;Matched;SFP;4;5;4,75;5;4,75;5;4,9;1;4;4
P025;Matched;SFP;4;4,5;4,5;4,5;4,25;3,75;4,3;1;5;5
P026;Matched;SFP;4;5;5;5;5;5;5;1;4;5
P027;Matched;SFP;4;5;5;5;5;5;5;1;5;5
P028;Matched;SFP;4;3,25;3;2,75;3;3,25;3,05;0,5;5;5
P029;Matched;NTP;4;5;4,75;5;4,75;5;4,9;1;3;3
P030;Matched;NTP;4;5;4,75;5;4,75;5;4,9;1;4;4
P031;Matched;NTP;4;4,5;4,5;4,5;4,25;3,75;4,3;1;3;5
P032;Matched;NTP;4;5;5;5;5;5;5;1;5;5
P033;Matched;NTP;4;3,25;3,5;3,25;3,25;3;3,25;1;5;4
P034;Matched;NTP;4;5;5;5;5;5;5;1;4;4
P035;Matched;NTP;4;3,25;3;2,75;3;3,25;3,05;0,5;4;4
P036;Matched;NFJ;4;4,75;4,75;4,75;4,25;4,25;4,55;0,75;4;4
P037;Matched;NFJ;4;5;5;5;5;5;5;1;3;5
P038;Matched;NFJ;4;5;5;5;5;5;5;1;5;4
